Ng,dx,N_robots,dt,horizon,measurement_std,monte_carlo_trials,empirical_max_frobenius_error,discrete_max_frobenius_error,empirical_max_linear_operator_error,discrete_max_linear_operator_error,empirical_max_relative_linear_operator_error_percent,discrete_max_relative_linear_operator_error_percent
121.0,0.5,1.0,0.02,120.0,3.1622776601683795,30.0,23.259508614918534,24.949193546491948,1.5374520356689345,2.132103896414691,4.051113996334837,5.7380836825868915
121.0,0.5,1.0,0.04,120.0,2.23606797749979,30.0,39.6798901204275,45.209139309693796,2.991561158805169,3.8879002221022887,7.700353325439488,10.430452784683112
121.0,0.5,1.0,0.06,120.0,1.8257418583505538,30.0,54.16251357424849,62.109895089292756,4.264400534673747,5.362948985016075,11.00587738159588,14.326646179467536
121.0,0.5,1.0,0.08,120.0,1.5811388300841898,30.0,66.85068009382732,76.46496970269722,5.379699476272734,6.620931958917637,14.049390316174312,17.603382836687516
121.0,0.5,1.0,0.1,120.0,1.4142135623730951,30.0,77.87413903949204,88.82580383699869,6.363629710525736,7.706865277182999,16.798496483893125,20.389968727009215
