time,empirical_mean_covariance,discrete_bound_mean_covariance,continuous_bound_mean_covariance
0.0,60.00000000000001,60.00000000000001,60.00000000000001
0.02,59.75976786507388,59.759767865073854,59.61722826718257
0.04,59.534683631798636,59.53820627166261,59.28405935458188
0.06,59.32420261017211,59.33058906552437,58.98390754362024
0.08,59.11837756131639,59.13388187078515,58.707662765867155
0.1,58.926750270897934,58.9460206484948,58.449750296728126
0.12,58.73250666220454,58.76553420813754,58.206484516343814
0.14,58.549063155525815,58.591333012187974,57.97528440825839
0.16,58.36575982068461,58.42258424163127,57.75426088237957
0.18,58.19724129293515,58.25863431082922,57.54198234080788
0.2,58.023904555064334,58.09895881743544,57.337333071124924
0.22,57.852980198297345,57.94312905304844,57.13942332977447
0.24,57.70046250108442,57.790788893583446,56.947529838959525
0.26,57.54404989988204,57.64163841452401,56.7610550216599
0.28,57.38651893789519,57.49542199315408,56.57949824032834
0.3,57.22962286774695,57.35191948416114,56.402434985982524
0.32,57.077597020018096,57.21093955039126,56.22950148703925
0.34,56.918266637341155,57.07231453711271,56.06038310671773
0.36,56.77775601004183,56.93589647296414,55.89480544783769
0.38,56.64469996148305,56.80155390758689,55.73252743050633
0.4,56.50987837795079,56.66916938033378,55.573335832657584
0.42,56.35946593302731,56.53863737174954,55.41704093228013
0.44,56.216106614998175,56.409862629152705,55.263472991057334
0.46,56.079647319857195,56.28275878553217,55.11247938884439
0.48,55.95204126710255,56.15724721090022,54.96392226742255
0.5,55.825534301822316,56.033256049693605,54.81767657698807
0.52,55.69947988621335,55.910719408432904,54.67362844422068
0.54,55.573178622589104,55.78957666575267,54.53167379942971
0.56,55.45698640933953,55.669771882861504,54.39171721414871
0.58,55.33847587324754,55.55125329701646,54.25367091098666
0.6,55.208318058957,55.433972884073185,54.11745391547825
0.62,55.07664536799531,55.317885978869775,53.982991325766385
0.64,54.94947689362116,55.20295094431225,53.8502136806681
0.66,54.828781873357364,55.089128881693156,53.71905641036157
0.68,54.713335793233924,54.97638337609791,53.58945935683406
0.7,54.59498203554304,54.86468027181076,53.461366353533606
0.72,54.48351388864089,54.75398747348628,53.33472485550655
0.74,54.37256032018911,54.644274769542406,53.2094856127823
0.76,54.27227068537265,54.53551367479634,53.08560238096357
0.78,54.15752651453989,54.42767728982591,52.96303166395419
0.8,54.0393125466505,54.32074017492137,52.8417324845541
0.82,53.92749942850198,54.214678236807835,52.72166617930675
0.84,53.81976182565788,54.109468626582434,52.60279621452608
0.86,53.71049063259691,54.00508964752962,52.48508802088123
0.88,53.599649098370314,53.90152067166337,52.36850884429262
0.9,53.48629728642381,53.7987420640006,52.25302761120797
0.92,53.37613058105162,53.696735113702566,52.13861480659212
0.94,53.27044175491469,53.59548197133224,52.02524236318832
0.96,53.17113533473962,53.49496559157239,51.91288356079857
0.98,53.05975844934535,53.395169680830044,51.8015129344918
1.0,52.97045928191076,53.29607864922376,51.691106190787366
1.02,52.872209659644476,53.19767756651023,51.581640130978855
1.04,52.77532519700449,53.09995212155952,51.473092580864986
1.06,52.67330418101759,53.00288858503277,51.36544232624211
1.08,52.57871835225509,52.906473774956176,51.25866905358847
1.1,52.47276484637586,52.81069502491876,51.15275329543533
1.12,52.37150606873279,52.71554015465165,51.0476763799787
1.14,52.2696528957172,52.620997442772705,50.9434203845331
1.16,52.17789966249746,52.527055601502774,50.83996809247387
1.18,52.07502475373357,52.43370375318095,50.73730295335177
1.2,51.97789362073799,52.34093140842313,50.635409045897084
1.22,51.8808704578321,52.248728445784224,50.534271043660176
1.24,51.789721247476756,52.15708509279827,50.43387418306081
1.26,51.69494648243937,52.06599190828303,50.33420423364204
1.28,51.5965385258874,51.975439765806314,50.23524747034416
1.3,51.51036735848833,51.8854198382215,50.13699064763278
1.32,51.41945999444332,51.79592358318794,50.03942097533036
1.34,51.32329702684951,51.706942729599874,49.942526096015584
1.36,51.23458720426487,51.61846926485456,49.84629406386707
1.38,51.146468132883804,51.53049542289635,49.750713324839275
1.4,51.04827479514807,51.44301367297894,49.65577269806906
1.42,50.95837129897863,51.35601670909346,49.561461358419805
1.44,50.86868651930461,51.26949744001404,49.467768820079144
1.46,50.78274179471525,51.18344897991721,49.37468492113227
1.48,50.694142242948935,51.09786463953416,49.282199809041025
1.5,50.61020973914156,51.01273791779973,49.19030392696369
