Ng,dx,N_robots,dt,measurement_std,continuous,discrete,discrete_iterations,discrete_residual
121.0,0.5,1.0,0.02,3.1622776601683795,17.13598891808921,17.563508653519982,5922.0,9.99962310939091e-7
121.0,0.5,1.0,0.04,2.23606797749979,17.135988918089215,17.962819148494518,3359.0,9.99945990232161e-7
121.0,0.5,1.0,0.06,1.8257418583505538,17.135988918089183,18.35230279784947,2429.0,9.992547464701427e-7
121.0,0.5,1.0,0.08,1.5811388300841898,17.135988918089158,18.72863013430935,1940.0,9.963443808122389e-7
121.0,0.5,1.0,0.1,1.4142135623730951,17.13598891808925,19.090847051619736,1634.0,9.986400043912942e-7
