Ng,dx,N_robots,dt,measurement_std,continuous,discrete
121.0,0.5,1.0,0.05,2.0,17.13598891808918,18.170126088365226
121.0,0.5,1.0,0.1,2.0,17.13598891808925,21.532116866185522
121.0,0.5,1.0,0.15,2.0,17.13598891808917,23.28950937702789
121.0,0.5,1.0,0.2,2.0,17.1359889180892,24.404431784317246
121.0,0.5,1.0,0.25,2.0,17.135988918089236,25.18606284417346
