target,N_robots,sensing_intensity,mean_field_variance,max_field_variance,bound_clarity,empirical_clarity
0.5,1.0,5.0,0.8957794484734635,10.546148322892629,0.5274875201359678,0.5105805598215247
0.6,3.0,15.0,0.5821261649448707,6.184381836022951,0.6320608445501847,0.6202799994045404
0.7,7.0,35.0,0.4048746431514892,4.07848868869521,0.7118072810800735,0.7035899556877026
0.8,21.0,105.0,0.24586692531435528,2.368622085676107,0.8026539429543661,0.7977988273396338
0.9,112.0,560.0,0.11083292035570234,1.03033167572317,0.9002253909433903,0.8974783074770336
