N_robots,mean_field_variance,max_field_variance,bound_clarity,empirical_clarity
1.0,0.8957794484734635,10.546148322892629,0.5274875201359678,0.5108499329186614
5.0,0.46893200662898094,4.813431949377063,0.6807667036235922,0.6714333671302659
10.0,0.3453514371631932,3.420081938567249,0.7433002057132366,0.7364307420711225
15.0,0.287213484295547,2.7984643745389532,0.7768719114586263,0.771187842685235
20.0,0.2515028437201017,2.426633331812359,0.7990393350026217,0.7941014440286958
25.0,0.22666645971476485,2.1723362494880605,0.8152175288403408,0.810701759725757
30.0,0.2080853838627735,1.9843367694262721,0.8277560620778027,0.8235824361057317
35.0,0.19349681477837644,1.8380562099768247,0.8378740417381781,0.8339794228851943
40.0,0.18164244762861226,1.7200361546406537,0.8462796863863999,0.8424590134973357
45.0,0.17175862187841448,1.622206255208664,0.8534180857119935,0.8499013153243637
50.0,0.1633511093132504,1.539393990783506,0.8595857192162047,0.8561378412681383
