Ng,dx,N_robots,dt,measurement_std,mean_state_variance,max_state_variance,clarity
4489.0,0.075,1.0,0.2,1.0,29.477232658796634,29.93733333167467,0.5014434053847562
4489.0,0.075,10.0,0.2,1.0,27.685035812158045,29.395799696663957,0.6661942369578581
4489.0,0.075,20.0,0.2,1.0,26.445481355516456,28.83709709552273,0.7131721060621347
4489.0,0.075,30.0,0.2,1.0,25.47626876733722,28.31789338228405,0.7394823909299059
4489.0,0.075,40.0,0.2,1.0,24.664574825842713,27.833295728779785,0.7575566009883101
4489.0,0.075,50.0,0.2,1.0,23.96123870684227,27.379260714030206,0.7712145079535252
2601.0,0.1,1.0,0.2,1.0,29.09348164766679,29.85654359469521,0.49996025725843063
2601.0,0.1,10.0,0.2,1.0,26.116857759148406,28.676585849269163,0.6667123123603571
2601.0,0.1,20.0,0.2,1.0,24.21178086876237,27.555990288420542,0.7152160809142105
2601.0,0.1,30.0,0.2,1.0,22.81198669260029,26.587221840004567,0.7426270233154141
2601.0,0.1,40.0,0.2,1.0,21.697069361858603,25.73625237642391,0.7615401760250295
2601.0,0.1,50.0,0.2,1.0,20.77055535657571,24.979241076709567,0.7758594040703142
1681.0,0.125,1.0,0.2,1.0,28.603452398035305,29.72491250360834,0.49992759639871376
1681.0,0.125,10.0,0.2,1.0,24.30049551768433,27.624203630376975,0.6695678733383792
1681.0,0.125,20.0,0.2,1.0,21.812384246759738,25.841801271611896,0.7198225131439379
1681.0,0.125,30.0,0.2,1.0,20.107015953654233,24.426980990038334,0.7483241492802606
1681.0,0.125,40.0,0.2,1.0,18.815268067984437,23.261481605149424,0.7679727965905787
1681.0,0.125,50.0,0.2,1.0,17.782442678444905,22.275665623979553,0.7828116267447542
1156.0,0.15,1.0,0.2,1.0,27.997853406801298,29.52622420828346,0.5013907350492796
1156.0,0.15,10.0,0.2,1.0,22.328832084027916,26.254132676876978,0.6747516522851884
1156.0,0.15,20.0,0.2,1.0,19.414583238762795,23.82859632058423,0.7267274423492356
1156.0,0.15,30.0,0.2,1.0,17.548105300177056,22.06352032455467,0.7561165242879019
1156.0,0.15,40.0,0.2,1.0,16.195519979916217,20.692388153499596,0.7762712145614595
1156.0,0.15,50.0,0.2,1.0,15.147925376335944,19.58134005898901,0.7914112138371998
676.0,0.2,1.0,0.2,1.0,26.63941312957641,28.960083670918102,0.5013766391415426
676.0,0.2,10.0,0.2,1.0,18.787641090769213,23.28004461521009,0.6829873999741974
676.0,0.2,20.0,0.2,1.0,15.548618431298129,20.04040409928096,0.7378079250263286
676.0,0.2,30.0,0.2,1.0,13.672347095302818,17.977691417312176,0.7683764740365927
676.0,0.2,40.0,0.2,1.0,12.390533538065824,16.49890482236528,0.7890769628983494
676.0,0.2,50.0,0.2,1.0,11.436661663299226,15.364522307494537,0.8044645419984117
441.0,0.25,1.0,0.2,1.0,25.048103116670966,28.119795772772243,0.5037470908386971
441.0,0.25,10.0,0.2,1.0,15.72185253794921,20.24970104057103,0.6938711088123999
441.0,0.25,20.0,0.2,1.0,12.553155889933667,16.71426881071156,0.7503456804658541
441.0,0.25,30.0,0.2,1.0,10.838804639639575,14.662917688364242,0.7812712453580914
441.0,0.25,40.0,0.2,1.0,9.709892289799328,13.264677532974394,0.8019518467953527
441.0,0.25,50.0,0.2,1.0,8.8896279257953,12.226687999157544,0.8171818442970353
289.0,0.3,1.0,0.2,1.0,23.076562329785716,26.85555660699457,0.5127456815306587
289.0,0.3,10.0,0.2,1.0,12.912160060423675,17.160651248716103,0.7110772398942038
289.0,0.3,20.0,0.2,1.0,10.02199635629783,13.68047166773727,0.7677819890730352
289.0,0.3,30.0,0.2,1.0,8.536028646410617,11.797031703054648,0.7981828981375804
289.0,0.3,40.0,0.2,1.0,7.582787251836844,10.558403109212373,0.8182482354445293
289.0,0.3,50.0,0.2,1.0,6.901608594101295,9.659561663705169,0.8328893372217194
169.0,0.4,1.0,0.2,1.0,19.699141887665903,24.175760858534908,0.5224979941412168
169.0,0.4,10.0,0.2,1.0,9.494857031653757,13.044248705677466,0.7316696319647951
169.0,0.4,20.0,0.2,1.0,7.153209935272583,10.014016749301723,0.7879515735386041
169.0,0.4,30.0,0.2,1.0,6.0088568318174564,8.483674173335585,0.8173656963472992
169.0,0.4,40.0,0.2,1.0,5.293119567855175,7.511264780756248,0.8364928560410568
169.0,0.4,50.0,0.2,1.0,4.789751499928009,6.820655637762429,0.8503075029810853
121.0,0.5,1.0,0.2,1.0,17.13598891808921,21.752410549024763,0.5278902017225546
121.0,0.5,10.0,0.2,1.0,7.567027366818089,10.560537067520597,0.7434300343479577
121.0,0.5,20.0,0.2,1.0,5.616046578967106,7.952575616020901,0.7991209024621765
121.0,0.5,30.0,0.2,1.0,4.685596541578023,6.678265358509984,0.8278167861752675
121.0,0.5,40.0,0.2,1.0,4.110587137468181,5.881511156944479,0.84632847678269
121.0,0.5,50.0,0.2,1.0,3.7092212078877353,5.321325078202957,0.8596266881210337
