Ng,dx,N_robots,dt,measurement_std,mean_state_variance,max_state_variance,clarity
4489.0,0.075,1.0,0.02,3.1622776601683795,29.477232658796634,29.93733333167467,0.5005902711749497
4489.0,0.075,10.0,0.02,3.1622776601683795,27.685035812158045,29.395799696663957,0.6657656889797714
4489.0,0.075,20.0,0.02,3.1622776601683795,26.445481355516456,28.83709709552273,0.7128647372671758
4489.0,0.075,30.0,0.02,3.1622776601683795,25.47626876733722,28.317893382284314,0.739235861632913
4489.0,0.075,40.0,0.02,3.1622776601683795,24.664574825842713,27.833295728779785,0.7573481930807752
4489.0,0.075,50.0,0.02,3.1622776601683795,23.9612387068422,27.379260714029716,0.7710327328677922
2601.0,0.1,1.0,0.02,3.1622776601683795,29.09348164766679,29.85654359469521,0.4991255732665534
2601.0,0.1,10.0,0.02,3.1622776601683795,26.116857759148406,28.676585849269163,0.6663051818799012
2601.0,0.1,20.0,0.02,3.1622776601683795,24.21178086876237,27.555990288420542,0.714929059770769
2601.0,0.1,30.0,0.02,3.1622776601683795,22.81198669260029,26.587221840004567,0.742399424188013
2601.0,0.1,40.0,0.02,3.1622776601683795,21.697069361858603,25.73625237642391,0.7613493681280168
2601.0,0.1,50.0,0.02,3.1622776601683795,20.77055535657571,24.979241076709567,0.7756940497484409
1681.0,0.125,1.0,0.02,3.1622776601683795,28.603452398035305,29.72491250360834,0.49911160459141146
1681.0,0.125,10.0,0.02,3.1622776601683795,24.30049551768433,27.624203630376975,0.6691853757661376
1681.0,0.125,20.0,0.02,3.1622776601683795,21.812384246759738,25.841801271611896,0.7195575686153335
1681.0,0.125,30.0,0.02,3.1622776601683795,20.107015953654233,24.426980990038334,0.7481161888750033
1681.0,0.125,40.0,0.02,3.1622776601683795,18.815268067984437,23.261481605149424,0.7677996491035513
1681.0,0.125,50.0,0.02,3.1622776601683795,17.782442678444905,22.275665623979553,0.7826623345212413
1156.0,0.15,1.0,0.02,3.1622776601683795,27.997853406801298,29.52622420828346,0.5005941606419908
1156.0,0.15,10.0,0.02,3.1622776601683795,22.32883208402792,26.254132676877152,0.674395495237585
1156.0,0.15,20.0,0.02,3.1622776601683795,19.414583238762777,23.828596320584385,0.7264847443845449
1156.0,0.15,30.0,0.02,3.1622776601683795,17.54810530017706,22.063520324554418,0.7559276720000226
1156.0,0.15,40.0,0.02,3.1622776601683795,16.195519979916217,20.69238815349964,0.7761148643083944
1156.0,0.15,50.0,0.02,3.1622776601683795,15.147925376335952,19.581340058989024,0.7912769579915555
676.0,0.2,1.0,0.02,3.1622776601683795,26.63941312957641,28.960083670918102,0.5006351395892865
676.0,0.2,10.0,0.02,3.1622776601683795,18.787641090769213,23.28004461521009,0.6826796819415439
676.0,0.2,20.0,0.02,3.1622776601683795,15.548618431298129,20.04040409928096,0.7376023963032592
676.0,0.2,30.0,0.02,3.1622776601683795,13.672347095302818,17.977691417312176,0.7682181669073361
676.0,0.2,40.0,0.02,3.1622776601683795,12.390533538065824,16.49890482236528,0.7889467729673418
676.0,0.2,50.0,0.02,3.1622776601683795,11.436661663299226,15.364522307494537,0.8043532979625226
441.0,0.25,1.0,0.02,3.1622776601683795,25.04810311667098,28.119795772772175,0.5030650825408779
441.0,0.25,10.0,0.02,3.1622776601683795,15.721852537949198,20.24970104057093,0.693606309308278
441.0,0.25,20.0,0.02,3.1622776601683795,12.553155889933675,16.714268810711435,0.7501714202090772
441.0,0.25,30.0,0.02,3.1622776601683795,10.838804639639582,14.66291768836433,0.781138078170264
441.0,0.25,40.0,0.02,3.1622776601683795,9.709892289799324,13.264677532974316,0.8018429180752843
441.0,0.25,50.0,0.02,3.1622776601683795,8.889627925795303,12.226687999157697,0.8170891434409994
289.0,0.3,1.0,0.02,3.1622776601683795,23.076562329785716,26.85555660699457,0.5121226088003532
289.0,0.3,10.0,0.02,3.1622776601683795,12.912160060423677,17.160651248716032,0.7108525563454167
289.0,0.3,20.0,0.02,3.1622776601683795,10.021996356297826,13.68047166773718,0.7676366333968561
289.0,0.3,30.0,0.02,3.1622776601683795,8.53602864641061,11.797031703054609,0.7980728690692709
289.0,0.3,40.0,0.02,3.1622776601683795,7.582787251836836,10.558403109212339,0.8181588169057603
289.0,0.3,50.0,0.02,3.1622776601683795,6.901608594101292,9.65956166370515,0.8328136112364017
169.0,0.4,1.0,0.02,3.1622776601683795,19.699141887665903,24.175760858534908,0.521995435202239
169.0,0.4,10.0,0.02,3.1622776601683795,9.494857031653757,13.044248705677466,0.7315016505368167
169.0,0.4,20.0,0.02,3.1622776601683795,7.153209935272583,10.014016749301723,0.7878449318342515
169.0,0.4,30.0,0.02,3.1622776601683795,6.0088568318174564,8.483674173335585,0.8172858326351536
169.0,0.4,40.0,0.02,3.1622776601683795,5.293119567855175,7.511264780756248,0.8364284272610858
169.0,0.4,50.0,0.02,3.1622776601683795,4.789751499928009,6.820655637762429,0.8502532394698983
121.0,0.5,1.0,0.02,3.1622776601683795,17.13598891808922,21.752410549024724,0.5274875201359678
121.0,0.5,10.0,0.02,3.1622776601683795,7.567027366818095,10.560537067520636,0.7433002057132365
121.0,0.5,20.0,0.02,3.1622776601683795,5.616046578967108,7.952575616020899,0.7990393350026217
121.0,0.5,30.0,0.02,3.1622776601683795,4.685596541578023,6.678265358509972,0.8277560620778027
121.0,0.5,40.0,0.02,3.1622776601683795,4.110587137468182,5.881511156944478,0.8462796863863999
121.0,0.5,50.0,0.02,3.1622776601683795,3.7092212078877362,5.321325078202983,0.8595857192162049
